Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Sandwich baguette, jambon, emmental, beurre","285,10","13,4","38,8","31,1","11,9","2,03","29,1","2,85",0,"2,44",0,0,"6,78","3,65","0,92","0,28","0,19","0,14","0,23","0,28","0,83","2,34","0,86","3,15","0,73","0,18",-,-,"< 0,01","46,1","1,58",162,-,"0,1","0,66","9,06","21,4","0,3",247,151,"5,66",612,"1,8","92,2","31,7","0,43","0,43",-,-,"2,65","0,27","0,13","1,97","0,32","0,14","17,7","0,35"
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre","217,84","10,1","49,2","31,4","5,76","1,82","29,6","1,75",0,"2,25",0,0,"2,84","1,76","0,55",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"41,1","1,43","30,2",-,"0,085","0,74","6,98","18,3","0,3",108,195,"5,22",542,"0,79","41,7",179,"0,17","0,45",-,-,"5,53","0,15","0,11","1,37","0,38","0,11","21,7","0,074"
"Sandwich baguette, merguez, ketchup moutarde","272,30","13,1","40,9",30,"11,1","2,43","27,6","1,61",0,"2,96",0,0,"5,3","4,41","0,79",-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,"2,14","34,3",-,"0,083","1,29",109,"22,7","0,31",116,413,"4,36",869,"1,61","9,66",258,"0,084","0,93",-,-,"0,28","0,075","0,12","2,47","0,28","0,14","16,7","0,61"
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise","280,78","8,52","43,4","32,2","13,1","1,55","30,5","1,78",0,"1,58",0,0,"3,08","3,39","5,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"85,4","1,15","38,2",-,"0,084","0,86","30,6","14,8","0,31","92,3",133,"5,2",480,"0,66","33,6",135,"0,39","4,08",-,-,"2,63","0,059","0,14","0,57","0,49","0,075",32,"0,27"
"Sandwich baguette, pâté, cornichons","249,10","10,1","46,7",29,"10,3","1,37","27,6","1,88",0,"2,11",0,0,"3,53","4,19","1,46",-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,"1,79","32,4",-,"0,26","2,28","6,38","17,3","0,33",109,149,"8,64",705,"1,23",1340,52,"0,19","0,32",-,-,"1,34","0,081","0,4","3,06","1,79","0,1","13,7","0,19"
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise","298,20",12,"41,2","30,6","14,2","1,51","29,1","1,73",0,"1,57",0,0,"3,27","3,55","6,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35,9","1,13","26,2",-,"0,082","0,76",28,"18,4","0,3",135,166,"5,71",480,"0,9","1,36",111,"0,08","4,68",-,-,"2,22","0,18","0,086","1,43","0,32","0,13","21,8","0,64"
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise","269,01","10,2","40,2","36,6","9,09","2,45",30,"2,06",0,"1,91",0,0,"1,59","3,1",4,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,4","0,41","2,7","1,16","0,39",-,-,"< 0,01","35,7","1,34","26,7",-,"0,083","0,79","28,4","17,5","0,3","96,3",162,"5,78",536,"0,73","2,69",111,"0,12","4,72",-,-,"2,22","0,059","0,073","2,01","0,43","0,13","18,7","0,12"
"Sandwich baguette, salami, beurre","388,90","12,5","26,9",35,"22,1","1,19","33,8","1,74",0,"3,01",0,0,"10,6","8,09","2,29",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"46,6","2,69","30,6",-,"0,11","1,12","5,03","16,1","0,32",123,151,"4,71",971,"0,99","70,8",20,"0,34","0,41",-,-,0,"0,13","0,098","1,5","0,43","0,12","14,9","0,45"
"Sandwich baguette, saucisson, beurre","373,70","13,7",27,"32,7","20,9","1,97","30,8","2,61",0,"3,13",0,0,"9,49","7,45","2,11","0,29","0,18","0,14","0,24","0,3","1,11","5,16","2,08","6,67","1,86","0,25",-,-,"< 0,01","49,9","2,37","37,2",-,"0,094","0,89","5,9","21,4","0,34",128,226,"5,73",889,"1,25","70,8",20,"0,13","0,46",-,-,0,"0,31","0,13","2,73","0,43","0,22",18,"0,3"
"Sandwich baguette, saumon fumé, beurre","261,69","11,5","37,4","41,3","5,61","1,53","39,8","2,19",0,"2,35",0,0,"2,58","1,07","1,19",-,-,-,-,-,-,-,-,-,-,-,-,"0,42","0,27","13,5","1,87",31,-,"0,093","0,62","46,4","19,6","0,38",114,177,"5,42",716,"0,59","26,3","7,2","0,77","0,8",-,-,"2,69","0,097","0,065","2,57","0,37","0,25","22,6","1,03"
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise","270,90","10,3",43,32,"11,3","1,4","30,5","1,78",0,"1,67",0,0,"2,54","2,62","5,68",-,-,-,-,-,-,-,-,-,-,-,-,"0,0072","0,03","24,6","1,28","26,8",-,"0,079","0,83","25,4","19,5","0,31",90,160,"11,3",514,"0,53","49,1",132,"0,73","4,05",-,-,"2,63","0,051","0,055","2,73","0,28","0,13",19,"0,63"
"Sandwich baguette, thon, maïs, crudités","189,75","8,87","54,6",25,"6,03","2,83",-,"3,93",0,"1,61",0,0,"1,02","3,25","1,57","0,014","0,011","0,011","0,014","0,014","0,041","0,44","0,23","2,67","1,14","0,39",-,-,"0,03",-,"1,02",-,-,-,-,-,-,-,-,-,-,410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich grec ou Kebab, baguette, crudités","260,07",13,"44,5","29,9","9,83","3,3","26,6",2,0,"1,53",0,0,"4,26","3,31","0,63",-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,"1,04","22,1",-,"0,1","2,05","4,87","22,8","0,3",117,271,10,432,"2,1",1,62,0,"0,2",-,-,2,"0,09","0,11","2,3","0,4","0,13",15,"0,88"
"Sandwich grec ou Kebab, pita, crudités","228,50","15,2","51,8","17,4","10,9","1,1","15,9","2,3",0,"2,42",0,0,"4,29","3,9","0,74","0,014","0,0096","0,0096","0,029","0,13","0,34","2,03","0,81","3,04","0,66","0,066","0,013",-,-,"47,3","1,23","33,6",607,"0,2","0,95",3,"21,5","0,2",-,316,-,492,"1,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel","236,80",10,-,"23,1","11,6","2,43",-,"3,06",0,"1,42",0,0,"2,86",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,42",-,-,-,-,-,-,-,-,-,-,557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich pain de mie complet, jambon, fromage","287,40","12,9",-,"26,1","14,6","7,75",-,2,0,"1,53",0,0,"6,45",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,33",205,-,-,-,-,-,-,-,-,-,525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich pain de mie complet, poulet, crudités, mayonnaise","225,12","9,18",-,"23,7","10,4","2,61",-,"3,63",0,"1,3",0,0,"2,48",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,3",-,-,-,-,-,-,-,-,-,-,517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich pain de mie complet, thon, crudités, mayonnaise","233,38","9,82",-,"23,1","11,3","2,49",-,"3,46",0,"1,08",0,0,"1,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,08",-,-,-,-,-,-,-,-,-,-,432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich pain de mie, garnitures diverses","258,80","11,7",45,"25,1","12,4","3,42",-,"3,83",0,"1,92",0,0,"4,96","3,85","2,09","0,063","0,043","0,033","0,053","0,063","0,21","0,99","0,3","2,53","1,76","0,2",-,-,"< 0,01",-,"1,17",-,740,-,-,-,-,-,-,-,-,463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich panini, jambon cru, mozzarella, tomates","251,95",17,"46,6","27,2","8,35",-,-,"1,4",0,"2,3",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,25",97,-,-,"1,1",-,"16,9",-,-,184,-,493,"1,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sang, boeuf, cru","82,28","19,5","80,5","0,8","0,12","0,8",0,0,0,"0,77",0,0,"0,04","0,05",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190,"0,6",4,-,-,"46,5",-,-,-,"14,5",107,-,240,"0,2",5,93,"0,1","0,4",-,-,-,"0,055","0,065","0,85",-,0,7,-
"Sanglier, cru","146,97","20,7",70,0,"7,13",0,-,0,0,"0,99",0,0,"2,47","3,17","0,91",-,-,-,"0,01","0,017","0,1","1,52","0,82","3,17","0,83","0,075",-,-,-,63,"0,2","9,65",-,"0,1","1,23",1,21,"0,014",155,325,"6,9",80,"3,6",0,-,"0,12","0,1",-,-,0,"0,56","0,13","5,1","0,77","0,3",2,"0,7"
"Sanglier, rôti/cuit au four","152,62","28,3","63,9",0,"4,38",0,0,0,0,"1,27",0,0,"1,3","1,71","0,64",0,0,0,0,0,"0,05","0,77","0,44",-,-,-,-,0,0,77,"0,15",16,-,"0,056","1,12",-,27,-,134,396,-,60,"3,01",0,0,0,"0,38","1,4",-,0,"0,31","0,14","4,21",-,"0,42",6,"0,7"
Sangria,"40,75","0,35","83,4","9,59","0,11","9,03","0,22","0,55",0,"0,33","5,63",0,"0,017","0,016","0,033",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0072","8,69",-,"0,031","0,35","0,92","9,36","0,12","12,2",132,"0,41","2,89","0,07",0,54,0,"0,15",-,-,"14,2","0,026","0,025","0,19","0,13","0,059","11,2",0
"Sardine, à l'huile d'olive, appertisée, égouttée","202,24","24,3","60,1","1,06","11,2",0,0,0,0,"3,4",0,0,"3,13","3,84","3,65","< 0,0051","< 0,0051","< 0,0051","< 0,0051","< 0,0051","0,36","1,92","0,42","3,37","0,19","0,075","0,067","1,24","1,69","47,6","0,73",798,510,"< 0,1","3,3",15,-,"0,16",530,357,11,291,"2,2",4,0,"10,8","1,9",-,-,0,"< 0,04","0,15","7,1","0,69","0,36",12,"13,7"
"Sardine, à l'huile, appertisée, égouttée","207,56","24,4","60,5","0,49",12,0,0,0,0,"2,65",0,0,"2,56","4,33","3,41","< 0,0067","< 0,0067","< 0,0067","< 0,0067","0,0045","0,35","1,64","0,41","3,27","0,9","0,18","0,056","0,67",1,"59,4","0,75",333,477,"0,062","1,97","80,1","38,5","< 0,1",306,368,35,300,"1,89","4,7",0,"7,56","1,44",0,-,0,"< 0,04","0,16","7,1","0,68","0,28",16,"13,6"
"Sardine, crue","162,52","19,3",64,0,"9,48",0,0,0,0,"2,2",0,0,"2,4","1,2","3,25",-,-,-,-,0,"0,32","1,74","0,35","0,019","0,1","0,47",-,"1,09","1,58","78,9","0,22","57,5",130,"0,41","1,67","26,8",36,"0,33",286,584,"52,8",101,"1,5",28,0,14,"0,28",-,-,"2,5","0,038","0,23","7,56","0,81","0,47","3,18","8,6"
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés","213,58","21,5","61,4","0,62","13,9",0,0,0,0,"2,65",0,0,"3,16","4,9","3,1","< 0,01","< 0,01","< 0,01","< 0,01","0,012","0,61","2,09","0,45","1,82","0,21","0,088",-,"0,68","1,02",-,"0,7",108,637,"0,1","2,3",40,37,"< 0,1",262,357,46,282,2,"2,5",-,"7,4","2,1",-,-,-,"< 0,04","0,23","7,3","0,75","0,4",-,"13,6"
"Sardine, grillée","192,40","24,7",64,0,"10,4",0,0,0,0,"1,24",0,0,"2,9","2,94","3,52",-,-,-,-,0,"0,44","1,7","0,51",-,-,-,-,-,-,0,"0,35",130,170,"0,14","1,7",32,34,"0,08",320,400,38,140,"1,4",0,0,"12,3","0,31",-,-,0,0,"0,25","6,9","0,88","0,41",4,12
"Sardine, sauce tomate, appertisée, égouttée","190,72","20,2","64,9","1,38","11,6","0,7",-,"1,05",0,"2,52",0,0,"3,04","3,65","4,24","< 0,0067","< 0,0067","< 0,0067","< 0,01","0,011","0,63","2,01","0,38","2,05","1,19","0,16","0,083","1,31","1,25","80,8","0,7",378,590,"0,24","2,6","45,1","32,5","0,24",352,376,"37,7",280,"1,8",4,-,"12,5","2,3",0,-,0,"< 0,04","0,17","7,38","0,7","0,15",16,"9,88"
"Sarrasin entier, cru","342,35",13,"10,1","64,6","3,55",-,-,7,0,"1,95",0,0,"0,74","1,04","1,04",0,0,"0,035","0,018","0,01","0,025","0,45","0,047","0,99","0,96","0,078",-,0,0,0,"0,0025","16,3",-,"1,1","2,2","2,5",231,"1,3",362,460,-,1,"2,4",0,-,0,-,-,-,0,"0,1","0,43","7,02","1,23","0,21",30,0
"Sarriette, séchée","172,11","6,73",9,23,"5,91",-,-,"45,7",0,"9,63",0,0,"3,26",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,06",2130,-,"0,85","37,9",-,377,"6,1",140,1050,-,24,"4,3",0,-,0,-,-,-,50,"0,37",-,"4,08",-,"1,81",-,0
Sauce à la crème,"77,51","1,08","86,3","5,9","5,51","0,65","4,7","0,24",-,"1,5",0,0,"2,82","1,7","0,4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,8","1,4","22,1",-,"0,026","0,47","12,8","5,4","0,057",25,"44,4","0,21",560,"0,12","26,1","10,1","0,013","0,42",-,-,"0,042","0,013","0,11","0,3","0,054","0,022","4,2","0,031"
Sauce à la crème aux épices,"78,94","1,16","84,8","6,2","5,5","0,7",5,"0,7",0,"1,51",0,0,"2,79","1,69","0,42",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,6","1,38","28,2",-,"0,043","0,82","12,6","9,2","0,32","28,1",70,"0,54",550,"0,17","25,6",13,"0,01","0,42",-,-,"0,3","0,015","0,11","0,35","0,05","0,03","4,6","0,03"
Sauce à la crème aux herbes,"73,58","1,09","86,1","5,2","5,38","0,69","4,51","0,5",-,"1,49",0,0,"2,74","1,65","0,4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,4","1,36",31,-,"0,032","0,88","12,6",7,"0,11","26,5",63,"0,23",544,"0,15","25,3",145,"0,01","0,46",-,-,"4,2","0,017","0,12","0,33","0,06","0,03","8,9","0,03"
"Sauce à l'échalote à la crème, préemballée","104,17","1,7",-,"11,9","5,53","2,27",-,"0,9",-,"1,61",0,0,"3,03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,61",-,-,-,-,-,-,-,-,-,-,647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce aigre douce, préemballée","84,40","0,55",78,"20,1","0,2","15,9","4,21","0,97","0,015","1,77",0,-,"0,063","< 0,23","0,045","< 0,01","< 0,01","< 0,01","0,0002","< 0,005","< 0,005","< 0,005","0,043","< 0,005","< 0,005","< 0,01",-,-,"< 0,01",0,"1,01",13,877,"0,14","0,6","1,9",12,"0,12",15,48,"0,4",406,"0,11",0,0,0,"1,29",-,-,6,"0,03","0,03","0,53","0,11","0,07",11,0
"Sauce aïoli, préemballée","392,32","1,13",-,"4,7",41,"3,14",-,"0,42",0,"2,07",0,"0,5",-,"15,9","9,74",-,-,-,"0,0044","0,0047","0,022","1,64","0,61","15,9","7,27","2,46","0,009",0,"0,0041",-,"1,85",-,-,-,-,-,-,-,-,-,-,736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce américaine, préemballée","419,80","1,42","45,7","9,48","41,8","5,1",-,"0,2",-,"3,24",0,1,"3,7","25,5",12,-,-,-,"0,00058","0,0014","0,021","2,57","1,11","8,22","10,6","1,38","0,0096",0,"0,0055",-,"2,94",-,-,-,-,-,-,-,-,-,-,1180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce armoricaine, préemballée","83,60","2,1","86,2","3,95","6,6","0,73","3,22",0,0,"1,5",0,0,"6,3","0,0071","0,0025",-,-,-,0,"0,0041","0,013","0,29","0,077","0,0071","0,0016","0,00077","0,000019","0,000017","0,0001",-,"1,3",-,-,-,-,-,-,-,-,"58,9",-,530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce au beurre blanc, préemballée","173,24","0,93",-,"4,58","16,8","1,1",-,"0,37",0,"1,2",0,0,"10,7",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,2",-,-,-,-,-,-,-,-,-,-,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce au beurre, préemballée","190,70","2,2","75,3","5,2","17,9",1,"1,1",1,0,"1,47",0,0,"12,1","3,92",-,"0,6","0,34","0,23","0,53","0,69","2,17","5,74","1,61","3,92","0,29","0,084",-,-,-,"51,4","1,36","26,3",798,"< 0,1","0,25",2,"4,3","< 0,1",24,"55,8",-,543,"0,1",117,-,"3,2","0,47",-,-,"< 0,5","0,073","0,04","< 0,16","< 0,16","0,044",22,"< 0,08"
Sauce au chocolat,"271,20","3,8",-,"26,2","16,8","24,1",-,3,0,"0,13",0,0,"10,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,13",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce au curry, préemballée","74,92","1,02","81,1","10,6","3,16","5,83","1,9","1,28",0,"1,53",0,0,"2,11",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,5","1,12","22,4",737,"0,2","0,5",10,"11,9","0,2","11,1",139,< 5,447,"0,2",10,-,"3,35","2,8",-,-,"1,05","0,08",-,"0,3","< 0,16","0,14","22,9","0,14"
"Sauce au fromage pour risotto ou pâtes, préemballée","115,17","3,11","82,9","4,24","9,53","0,68",-,"1,4",0,"1,54",0,0,7,"1,82","0,19",-,-,-,"0,25",-,-,-,-,-,-,-,-,-,-,-,"1,38",-,-,-,-,-,-,-,-,-,-,543,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce au poivre vert, préemballée","81,30","1,3",-,"5,3","6,1","1,3",-,"1,3",0,"1,15",0,0,"2,87","1,93","1,03",-,-,-,"0,041","0,047","0,098","0,82","0,73","1,93","0,77","0,26","0,0017","0,0002","0,00037",-,"1,15",-,-,-,-,-,-,-,-,-,-,317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce au poivre, chaude, préemballée","157,44","1,26","75,7","4,8","14,8","1,76","3,04","1,13",0,"1,88",0,"0,33","1,91","8,14","3,99","0,03","0,02","0,02","0,02","0,03","0,11","1,18","0,33","7,47","2,98","1,01","< 0,01","< 0,01","< 0,01","19,5","1,58",19,911,"0,02","0,43",< 20,"4,6","0,13",31,60,< 20,630,"0,16",< 21,< 5,"< 0,25","3,52","27,3",-,-,"0,31","0,039","0,16","0,2","0,013","11,3","0,074"
"Sauce au poivre, condimentaire, froide, préemballée","490,48","0,97",36,6,"51,4","4,68",-,"0,5",-,"2,79",0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,11",-,-,-,-,-,-,-,-,-,-,845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce au roquefort, préemballée","127,10","2,85","80,9","4,4","10,9","1,1",-,"0,6",0,"1,25",0,0,"7,18","2,72","0,35",-,-,-,-,-,-,-,-,-,"0,27","0,08",-,-,-,-,"1,25",-,-,-,-,-,-,-,-,-,-,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sauce au vin rouge,"50,50","0,81","88,9",7,"2,14","0,84","2,53","0,42",0,"1,89","1,76",-,"1,23","0,51","0,11",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,73","1,73","12,3",-,"0,045","0,72","13,2","7,97","0,081","19,5",126,"0,21",691,"0,12","14,2",134,"0,026","0,28",-,-,1,"0,014","0,12","0,45","0,067","0,037","8,25","0,018"
Sauce au yaourt,"95,91","3,64","79,4","4,79","6,91","4,33","0,45","1,11",0,"2,43",0,-,"1,41","4,87","0,51",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,02","1,27",157,-,"0,063","1,15","15,9","24,6","0,18","92,1",246,"1,43",508,"0,65","8,23",-,"0,075","0,72",-,-,"8,03","0,058","0,2","0,36","0,35","0,12",30,"0,16"
"Sauce aux champignons et à la crème, préemballée","88,87","1,08",-,"5,14","7,11","1,26",-,"0,8",-,"1,02",0,0,"2,91",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,02",-,-,-,-,-,-,-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce aux champignons, préemballée","94,34","3,2","83,8","6,3","6,26","2,2","4,1","2,25",-,"1,19",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,1","0,9","17,3",543,"< 0,1","0,7",9,"6,8","< 0,1","38,4",90,-,360,"0,26",30,-,"0,94","0,59",-,-,"< 0,5","0,27","0,06","1,3","0,2","0,033",28,"< 0,08"
"Sauce barbecue, préemballée","135,87","0,73","57,8",32,"0,55","26,5","3,3","0,5",0,"3,1",0,"1,5","0,11","0,084","0,19",0,0,0,0,0,0,0,0,"0,079","0,18","0,009",0,0,0,0,"2,47",35,1430,"0,079","0,3",13,9,"0,23",15,142,"1,3",980,"0,13",0,-,0,"1,6",-,-,"0,33","0,02","0,05","0,49","0,037","0,09",2,0
"Sauce basquaise ou Sauce aux poivrons, préemballée","58,71","1,17",-,"7,41","2,71","4,46",-,"2,09",0,"1,84",0,"0,078","0,49","0,74","1,37","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,31","0,16","0,74","1,36","0,0091",-,-,"< 0,01",-,"1,13",-,762,-,-,-,-,-,-,-,-,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce béarnaise, préemballée","452,14","1,19","43,6","4,52","47,7","2,3","1,7","0,48",-,"2,13",0,"0,69","3,55","29,2","12,6","< 0,01","< 0,01","0,02","< 0,01","< 0,01","0,03","2,28","0,77","26,9","8,89","3,7","< 0,01","< 0,01","< 0,01","48,9","1,95",15,1210,"0,01","0,27",< 20,"2,5","0,04",23,39,< 20,778,"0,17",< 21,370,"< 0,25","10,9","89,4",-,"< 0,5","< 0,015","0,018","< 0,1","0,22","0,014","11,5","0,18"
"Sauce béchamel, maison","146,64","3,84","74,9","8,97","10,6","4,38",-,"0,2",-,"1,47",0,0,"2,85","4,42","2,86","0,06","0,036","0,02","0,047","0,052","0,21","1,56","0,87",-,-,-,-,0,0,7,"0,89",118,-,"0,016","0,33",-,14,"0,043",98,156,-,354,"0,41",103,21,"1,2","0,29","0,9",-,"0,8","0,069","0,19","0,4","0,33","0,04",5,"0,28"
"Sauce béchamel, préemballée","89,26","2,31","81,3","7,27","5,66","2,82","3,7","0,4",-,"1,41",0,0,"2,58","1,61","0,18","< 0,11","< 0,071","< 0,041","0,13","0,15","0,48","1,33","0,49","1,39","0,14","0,028","0,0084","0,0011","0,0011",30,"0,9","82,3",567,"0,018","0,1",25,"7,52","0,016",33,126,"< 4,18",359,"0,27",64,20,"< 0,5","0,17",-,-,"< 0,5","< 0,04","0,12","0,27","0,27","0,045",< 16,"0,17"
"Sauce bourguignonne, préemballée","431,42","1,23","46,3","7,85","43,9","5,23","1,3","0,52",-,"3,18",0,0,"3,59","25,3","11,6","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,02","1,91","0,71","22,9","7,67","3,73","< 0,01","< 0,01","< 0,01",32,"2,71",15,1600,"0,05","0,7",< 20,"8,8","0,07",35,210,< 20,1080,"0,27",< 21,1710,"< 0,25","10,1","68,8",-,"< 0,5","0,025","0,03","2,77","0,26","0,035","17,4","0,2"
"Sauce burger, préemballée","361,64","1,06",-,"13,3","33,8","10,2",-,"0,48",-,"2,5",0,"1,5","3,11","19,8","9,41",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,5","2,13",19,-,-,-,-,-,-,30,"29,6",-,847,-,-,-,-,"1,5",-,-,-,"0,021","0,13",-,-,"0,053",-,-
"Sauce carbonara, préemballée","154,68","5,17",-,"4,7","12,8",1,-,"2,65",-,"1,49",0,0,"8,25",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,49",-,-,-,-,-,-,-,-,-,-,590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sauce chasseur, préemballée","37,97","1,21",91,"4,66","1,61",-,-,"0,43",-,"1,39",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,03","4,6",-,-,"0,17",-,"3,91",-,-,"78,2",-,410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sauce chaude (aliment moyen),"120,34","2,56","79,2","7,05","9,1","2,63","3,76","0,91",,"1,54","0,011","0,056","3,79","3,29","1,56",,,,,,,,,,,,,,,"19,5","1,21","68,8",,"0,045","0,35","17,9","9,97","0,076","43,6",115,,481,"0,27","52,8","98,7","0,45","1,51",,,"5,44","0,038","0,12","0,4","0,21","0,044","9,2","0,14"
"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée","160,78","0,76","71,4","7,26","14,3","5,1","1,83","0,5",-,"3,08",0,0,"1,29","8,09","4,1",-,-,-,-,"< 0,34","< 0,34",< 1,-,"8,09","2,85","1,25",-,"< 0,1","< 0,1","< 0,04","2,57","9,5",1810,-,"< 0,5","< 0,7","3,2","< 0,34","10,1","13,8","< 0,5",1010,"< 0,34","0,088","0,21","< 0,1","7,39",-,-,"1,22","< 0,1","< 0,1",-,"< 0,1","< 0,1",-,-
"Sauce crudités ou Sauce salade, préemballée","302,74","0,86","61,8","5,3","30,9","4,06","0,9","0,35",-,"2,53",0,0,"3,22",18,"7,93","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,02","1,29","0,51","16,3","4,62","3,31","< 0,01","< 0,01","< 0,01",0,"2,4",28,1410,"< 0,01","0,19",< 20,"5,1","0,03",23,56,< 20,949,"0,12",< 21,"12,3","< 0,25","7,05","99,8",-,"< 0,5","0,022","0,012","< 0,1","0,16","0,13",< 5,-
